,course,semester_code,average_grade,passed,a,b,c,d,e,f
206,TTT4145,H2006,2.037037037037037,0,1,5,7,4,1,9
207,TTT4145,V2018,3.25,0,1,3,3,0,0,1
208,PG8104,V2007,4.333333333333333,0,1,2,0,0,0,0
209,PG8104,V2009,0.0,3,0,0,0,0,0,0
210,PG8104,V2011,4.2,0,1,4,0,0,0,0
211,PG8104,V2016,0.0,8,0,0,0,0,0,0
212,PG8104,V2005,0.0,10,0,0,0,0,0,0
213,POL8510,H2009,0.0,3,0,0,0,0,0,0
214,RVI2151,H2013,4.0,0,1,1,1,0,0,0
215,RVI2151,H2014,3.6666666666666665,0,1,0,2,0,0,0
216,RVI2151,H2015,2.3333333333333335,0,0,1,1,0,0,1
217,RVI2151,V2016,2.2,0,1,0,2,0,0,2
218,RVI2151,H2004,3.6666666666666665,0,4,0,0,1,0,1
219,SARB3509,H2015,3.3333333333333335,0,0,1,2,0,0,0
220,SARB3509,V2017,3.6666666666666665,0,1,1,0,1,0,0
221,SARB3509,V2018,3.5,0,0,2,2,0,0,0
222,GEOL3092,V2010,4.0,0,1,3,1,0,0,0
223,GEOL3092,H2010,4.333333333333333,0,1,2,0,0,0,0
224,GEOL3092,V2012,4.0,0,0,3,0,0,0,0
225,GEOL3092,H2014,4.0,0,2,3,2,0,0,0
226,GEOL3092,V2015,4.0,0,1,1,1,0,0,0
227,GEOL3092,V2016,4.333333333333333,0,1,2,0,0,0,0
228,IDRI2005,V2014,3.5510204081632653,0,4,22,20,3,0,0
229,IDRI2005,V2015,4.214285714285714,0,14,26,1,0,0,1
230,IDRI2005,V2016,3.9298245614035086,0,25,15,5,12,0,0
231,IDRI2005,V2017,4.339622641509434,0,28,15,10,0,0,0
232,IDRI2005,V2018,3.6444444444444444,0,5,24,11,5,0,0
233,IDRI1004,V2013,2.9574468085106385,0,8,10,14,7,3,5
234,IDRI1004,V2014,2.9130434782608696,0,6,10,13,11,3,3
235,IDRI1004,H2014,3.0,0,6,7,11,1,3,4
236,IDRI1004,V2015,3.0344827586206895,0,8,12,22,10,2,4
237,IDRI1004,H2015,2.4761904761904763,0,4,8,9,10,5,6
238,IDRI1004,V2016,2.2222222222222223,0,4,12,14,7,16,10
239,IDRI1004,H2016,2.037037037037037,0,2,8,13,8,13,10
240,IDRI1004,V2017,2.442622950819672,0,3,13,20,6,10,9
241,IDRI1004,H2017,2.8461538461538463,0,5,7,11,10,5,1
242,IDRI1004,V2018,3.3846153846153846,0,12,11,19,6,3,1
243,IDRI2006,V2013,3.5576923076923075,0,8,13,31,0,0,0
244,IDRI2006,V2014,3.372093023255814,0,10,0,29,4,0,0
245,IDRI2006,V2015,3.4691358024691357,0,12,23,37,9,0,0
246,IDRI2006,V2016,3.98,0,15,68,17,0,0,0
247,IDRI2006,V2017,3.3529411764705883,0,6,35,50,11,0,0
248,IDRI2006,V2018,2.2916666666666665,0,2,13,17,19,14,7
249,IDRI3005,H2014,4.290322580645161,0,17,11,0,2,0,1
250,IDRI3005,H2015,3.942857142857143,0,11,14,7,3,0,0
251,IDRI3005,H2016,3.2444444444444445,0,8,16,10,5,2,4
252,IDRI3005,V2017,3.0,0,1,0,1,0,1,0
253,IDRI3005,H2017,3.375,0,4,14,9,2,1,2
254,TTT4175,H2007,2.4210526315789473,0,1,3,7,3,2,3
255,TTT4175,H2008,2.5,0,0,3,6,2,1,2
256,TTT4175,H2009,2.75,0,1,1,4,0,1,1
257,TTT4175,H2010,2.85,0,2,3,9,3,2,1
258,TTT4175,H2011,3.0,0,2,4,7,3,1,1
259,TTT4175,H2012,2.6923076923076925,0,1,2,14,7,1,1
260,TTT4175,H2013,2.823529411764706,0,1,4,6,4,1,1
261,TTT4175,H2014,2.625,0,0,2,3,2,0,1
262,TTT4175,H2015,3.0,0,1,2,4,2,1,0
263,TTT4175,H2016,3.0833333333333335,0,0,4,5,3,0,0
264,TTT4175,H2017,3.3846153846153846,0,2,4,4,3,0,0
265,TTT4175,H2004,2.787878787878788,0,0,11,12,4,4,2
266,TTT4175,H2005,3.473684210526316,0,4,7,5,1,1,1
267,TTT4175,H2006,3.1176470588235294,0,2,4,7,2,2,0
268,TMT4155,H2007,2.693548387096774,0,9,10,21,8,3,11
269,TMT4155,S2008,0.6666666666666666,0,0,0,0,1,0,2
270,TMT4155,H2008,2.759259259259259,0,4,10,26,5,1,8
271,TMT4155,S2009,0.8333333333333334,0,0,0,0,2,1,3
272,TMT4155,H2009,2.661290322580645,0,6,7,26,14,1,8
273,TMT4155,H2010,2.7162162162162162,0,7,8,36,12,2,9
274,TMT4155,S2011,2.0,0,0,0,0,3,0,0
275,TMT4155,H2011,3.3492063492063493,0,9,18,25,9,1,1
276,TMT4155,S2012,3.0,0,0,1,1,1,0,0
277,TMT4155,H2012,3.1956521739130435,0,4,15,19,4,2,2
278,TMT4155,H2013,3.533333333333333,0,9,24,19,6,2,0
279,TMT4155,H2014,3.5,0,12,15,23,6,2,0
280,TMT4155,H2015,3.193548387096774,0,9,20,17,9,4,3
281,TMT4155,H2016,2.579710144927536,0,5,15,16,17,11,5
282,TMT4155,H2004,2.8181818181818183,0,2,2,2,2,3,0
283,TMT4155,H2005,3.2058823529411766,0,3,10,15,3,3,0
284,TMT4155,H2006,2.62,0,5,9,18,6,4,8
285,TMT4155,H2017,3.0606060606060606,0,13,15,17,11,4,6
286,TIØ5210,V2007,3.2222222222222223,0,1,4,11,2,0,0
287,TIØ5210,V2008,3.4,0,0,6,2,2,0,0
288,TIØ5210,V2009,3.5652173913043477,0,2,11,8,2,0,0
289,TIØ5210,V2010,3.4074074074074074,0,4,5,17,0,1,0
290,TIØ5210,V2011,3.7241379310344827,0,4,14,10,1,0,0
291,TIØ5210,V2012,3.323529411764706,0,2,12,17,2,0,1
292,TIØ5210,V2013,3.3448275862068964,0,2,10,15,1,0,1
293,TIØ5210,V2014,3.586206896551724,0,3,16,7,2,0,1
294,TIØ5210,V2015,3.125,0,1,5,14,4,0,0
295,TIØ5210,V2016,3.4545454545454546,0,1,13,5,2,0,1
296,TIØ5210,V2017,3.72,0,1,17,6,1,0,0
297,TIØ5210,V2006,3.25,0,0,3,9,0,0,0
298,TIØ5210,V2018,3.2222222222222223,0,4,16,10,1,0,5
299,SANT1002,V2007,2.762237762237762,0,11,30,48,32,12,10
300,SANT1002,H2007,3.1666666666666665,0,3,3,3,0,2,1
301,SANT1002,V2008,2.466666666666667,0,7,21,26,40,19,7
302,SANT1002,H2008,2.9,0,2,1,3,2,2,0
303,SANT1002,V2009,2.5476190476190474,0,7,24,42,21,22,10
304,SANT1002,H2009,3.0,0,0,0,5,0,0,0
305,SANT1002,V2010,2.8666666666666667,0,10,28,39,26,13,4
306,SANT1002,H2010,3.2857142857142856,0,0,3,3,1,0,0
307,SANT1002,V2011,2.8260869565217392,0,4,19,36,27,2,4
308,SANT1002,H2011,1.6,0,0,2,0,0,0,3
309,SANT1002,V2012,3.411764705882353,0,15,36,34,12,3,2
310,SANT1002,H2012,2.0,0,0,0,1,1,1,0
311,SANT1002,V2013,2.5172413793103448,0,4,18,26,18,13,8
312,SANT1002,V2014,3.1341463414634148,0,6,25,32,14,3,2
313,SANT1002,V2015,2.9047619047619047,0,5,18,18,13,6,3
314,SANT1002,V2016,3.410958904109589,0,14,20,28,6,3,2
315,SANT1002,V2017,3.1139240506329116,0,14,20,22,12,6,5
316,SANT1002,H2017,2.0,0,0,1,1,0,1,1
317,SANT1002,V2004,2.8636363636363638,0,21,36,26,21,9,19
318,SANT1002,H2004,4.294117647058823,0,9,5,2,1,0,0
319,SANT1002,V2005,2.7657142857142856,0,22,30,60,30,14,19
320,SANT1002,H2005,3.769230769230769,0,3,4,6,0,0,0
321,SANT1002,V2006,3.0460526315789473,0,21,30,59,27,7,8
322,SANT1002,H2006,2.8,0,0,2,5,2,1,0
323,SANT1002,V2018,3.1951219512195124,0,8,26,29,14,3,2
324,FON3301,H2006,3.0,0,0,2,0,0,1,0
325,IFUD1040,H2012,3.588235294117647,0,3,6,6,2,0,0
326,IFUD1040,V2013,3.1,0,0,3,5,2,0,0
327,IFUD1040,H2013,3.5714285714285716,0,2,6,4,2,0,0
328,IFUD1040,V2014,3.076923076923077,0,1,4,4,3,1,0
329,IFUD1040,H2014,3.2,0,3,2,7,2,0,1
330,IFUD1040,V2015,3.857142857142857,0,1,5,0,1,0,0
331,IFUD1040,H2015,3.6666666666666665,0,2,5,4,1,0,0
332,IFUD1040,V2016,2.875,0,0,4,1,1,2,0
333,IFUD1040,H2016,3.0,0,1,0,1,2,0,0
334,IFUD1040,V2017,4.0,0,0,3,0,0,0,0
335,IFUD1040,V2018,3.25,0,0,2,1,1,0,0
336,LGU13008,H2013,3.111111111111111,0,5,9,29,9,2,0
337,LGU13008,H2014,2.8205128205128207,0,2,8,18,6,2,3
338,LGU13008,H2015,3.0185185185185186,0,4,14,19,14,2,1
339,LGU13008,H2016,2.953846153846154,0,5,14,28,12,3,3
340,LGU13008,H2017,3.3859649122807016,0,12,13,20,10,1,1
341,TELE2004,V2014,3.32,0,2,8,11,4,0,0
342,TELE2004,V2015,2.1951219512195124,0,2,5,13,10,1,10
343,TELE2004,V2016,2.526315789473684,0,1,4,5,6,0,3
344,TELE2004,V2017,3.111111111111111,0,2,3,8,5,0,0
345,TELE2004,V2018,3.3076923076923075,0,2,4,4,2,1,0
346,MUSV1013,V2007,3.892857142857143,0,7,13,6,2,0,0
347,MUSV1013,V2008,3.78125,0,6,15,9,2,0,0
348,MUSV1013,V2009,3.8,0,9,9,9,3,0,0
349,MUSV1013,V2010,4.0344827586206895,0,7,16,6,0,0,0
350,MUSV1013,V2011,4.25,0,10,6,3,1,0,0
351,MUSV1013,V2012,3.689655172413793,0,5,12,10,2,0,0
352,MUSV1013,V2014,3.769230769230769,0,4,3,5,1,0,0
353,MUSV1013,V2015,4.166666666666667,0,5,4,3,0,0,0
354,MUSV1013,V2016,3.7916666666666665,0,6,8,9,1,0,0
355,MUSV1013,V2017,3.6923076923076925,0,7,6,11,2,0,0
356,MUSV1013,V2005,3.857142857142857,0,10,16,16,0,0,0
357,MUSV1013,V2006,3.45,0,7,11,16,5,1,0
358,MUSV1013,V2018,3.7222222222222223,0,6,6,4,0,1,1
359,SARB3512,V2007,4.333333333333333,0,1,2,0,0,0,0
360,SARB3512,V2008,3.5,0,1,2,2,1,0,0
361,SARB3512,V2009,4.111111111111111,0,3,4,2,0,0,0
362,SARB3512,H2010,4.0,0,1,2,1,0,0,0
363,SARB3512,H2011,3.8333333333333335,0,2,6,4,0,0,0
364,SARB3512,V2013,3.6363636363636362,0,2,4,4,1,0,0
365,SARB3512,V2015,3.88,0,8,10,5,1,0,1
366,SARB3512,V2016,3.433333333333333,0,3,14,10,1,0,2
367,SARB3512,V2017,3.5517241379310347,0,5,9,14,0,0,1
368,SARB3512,H2017,3.25,0,0,2,1,1,0,0
369,SARB3512,H2005,3.272727272727273,0,2,2,5,1,1,0
370,SARB3512,H2006,3.1666666666666665,0,0,3,2,0,1,0
371,SARB3512,V2018,3.4444444444444446,0,0,8,10,0,0,0
372,TDT4186,S2007,1.9090909090909092,0,0,0,2,7,1,1
373,TDT4186,H2007,2.3714285714285714,0,5,42,45,26,35,22
374,TDT4186,S2008,0.8666666666666667,0,0,1,2,0,3,9
375,TDT4186,H2008,2.6265822784810124,0,6,24,80,16,17,15
376,TDT4186,S2009,0.3333333333333333,0,0,0,0,1,0,5
377,TDT4186,H2009,2.6726190476190474,0,44,26,27,12,20,39
378,TDT4186,S2010,1.85,0,0,2,6,3,5,4
379,TDT4186,H2010,2.2556053811659194,0,16,35,61,37,26,48
380,TDT4186,S2011,1.0476190476190477,0,0,0,2,4,8,7
381,TDT4186,H2011,2.199052132701422,0,9,24,68,42,35,33
382,TDT4186,S2012,1.5384615384615385,0,0,0,5,1,3,4
383,TDT4186,H2012,2.292134831460674,0,11,15,63,42,20,27
384,TDT4186,S2013,0.7777777777777778,0,0,0,0,1,5,3
385,TDT4186,H2013,1.9722222222222223,0,11,19,33,51,23,43
386,TDT4186,S2014,1.25,0,0,1,1,7,4,7
387,TDT4186,V2015,2.3591160220994474,0,10,33,57,30,14,37
388,TDT4186,S2015,1.3636363636363635,0,0,0,4,7,4,7
389,TDT4186,V2016,2.1778846153846154,0,11,35,52,39,24,47
390,TDT4186,S2016,0.8,0,0,0,3,1,5,11
391,TDT4186,V2017,2.3333333333333335,0,8,35,54,35,22,32
392,TDT4186,S2017,1.4666666666666666,0,0,0,4,3,4,4
393,TDT4186,H2004,2.216666666666667,0,1,29,28,23,15,24
394,TDT4186,S2005,2.8,0,1,4,1,1,2,1
395,TDT4186,H2005,1.9035087719298245,0,1,6,44,19,18,26
396,TDT4186,S2006,1.894736842105263,0,0,3,3,4,7,2
397,TDT4186,H2006,2.4015748031496065,0,6,14,56,16,19,16
398,TDT4186,V2018,2.1472081218274113,0,6,38,42,43,29,39
399,TEP4223,S2007,2.6,0,0,0,4,0,1,0
400,TEP4223,H2007,3.4285714285714284,0,2,15,16,1,0,1
401,TEP4223,H2008,3.0508474576271185,0,4,18,28,2,0,7
402,TEP4223,S2009,3.4,0,1,0,4,0,0,0
403,TEP4223,H2009,3.1964285714285716,0,4,15,31,3,0,3
404,TEP4223,H2010,3.140845070422535,0,4,26,31,3,0,7
405,TEP4223,H2011,2.9381443298969074,0,3,17,60,11,0,6
406,TEP4223,H2012,3.1475409836065573,0,4,20,26,6,2,3
407,TEP4223,H2013,3.235294117647059,0,13,26,22,19,2,3
408,TEP4223,H2014,3.076923076923077,0,8,29,26,20,6,2
409,TEP4223,H2015,3.467741935483871,0,10,26,14,8,3,1
410,TEP4223,H2016,2.4302325581395348,0,11,16,15,16,13,15
411,TEP4223,S2017,2.6666666666666665,0,0,1,4,0,0,1
412,TEP4223,H2004,3.625,0,4,11,5,4,0,0
413,TEP4223,H2005,3.04,0,5,7,5,3,2,3
414,TEP4223,S2006,3.3333333333333335,0,2,0,0,0,0,1
415,TEP4223,H2006,3.0,0,6,5,10,2,0,5
416,TEP4223,H2017,3.036144578313253,0,8,22,27,17,9,0
417,TET4155,V2007,3.0,0,9,31,38,15,5,8
418,TET4155,S2007,3.0,0,0,1,3,1,0,0
419,TET4155,V2008,2.440677966101695,0,4,9,58,27,4,16
420,TET4155,S2008,2.375,0,0,0,8,6,2,0
421,TET4155,V2009,3.1791044776119404,0,20,32,53,17,5,7
422,TET4155,S2009,2.0,0,0,1,0,4,0,1
423,TET4155,V2010,2.61875,0,10,18,78,28,7,19
